# Constructed from biom file
#OTU ID	Church.F.28	Well.F.92
MJ032-1-barcode26-umi37798bins-ubs-9	17.0	119.0
MJ020-2-barcode70-umi18336bins-ubs-31	15.0	12.0
RS-GCF-004959785.1-NZ-SJZH01000033.1	122.0	5.0
EU857676	10.0	0.0
MJ030-2-barcode58-umi113995bins-ubs-3	0.0	37.0
LN832063	671.0	62.0
MH091546	0.0	14.0
KX390668	2.0	31.0
MJ031-2-barcode58-umi467bins-ubs-506	0.0	76.0
MJ030-2-barcode59-umi108848bins-ubs-4	46.0	0.0
MJ034-1-barcode33-umi11315bins-ubs-32	16.0	8.0
MJ030-2-barcode58-umi82120bins-ubs-6	3.0	9.0
MJ034-1-barcode38-umi15628bins-ubs-18	0.0	28.0
MJ030-1-barcode25-umi10318bins-ubs-40	0.0	19.0
MJ030-2-barcode59-umi76314bins-ubs-7	0.0	16.0
GB-GCA-016794205.1-JAEUIJ010000002.1	9.0	39.0
MJ030-2-barcode58-umi7381bins-ubs-53	12.0	0.0
MJ030-2-barcode59-umi99622bins-ubs-4	21.0	29.0
JX843738	98.0	230.0
MJ030-2-barcode59-umi107473bins-ubs-3	46.0	0.0
MJ030-2-barcode59-umi10920bins-ubs-46	0.0	31.0
MJ030-2-barcode58-umi24937bins-ubs-26	16.0	0.0
MJ032-2-barcode72-umi80128bins-ubs-4	14.0	0.0
KJ528316	140.0	240.0
MJ020-1-barcode34-umi1783bins-ubs-137	0.0	105.0
MJ007-2-barcode68-umi1820bins-ubs-263	0.0	17.0
MJ032-1-barcode26-umi15233bins-ubs-30	0.0	10.0
MJ030-2-barcode58-umi90251bins-ubs-5	24.0	0.0
MJ031-1-barcode30-umi4885bins-ubs-90	13.0	85.0
KM978076	22.0	0.0
MJ030-2-barcode58-umi19344bins-ubs-33	8.0	3.0
MJ034-1-barcode40-umi23686bins-ubs-7	5.0	20.0
G000284295	2.0	16.0
RS-GCF-015169395.1-NZ-CP063458.1--2	44.0	0.0
MJ030-2-barcode59-umi39800bins-ubs-18	0.0	259.0
LC094486	0.0	50.0
G000333615	0.0	12.0
MJ031-1-barcode27-umi29498bins-ubs-9	0.0	27.0
EF532793	0.0	20.0
MJ020-2-barcode52-umi82100bins-ubs-4	44.0	0.0
MJ034-1-barcode32-umi20373bins-ubs-10	0.0	67.0
HM037996	5.0	63.0
MJ030-2-barcode59-umi27748bins-ubs-22	9.0	150.0
MJ030-2-barcode58-umi75730bins-ubs-7	192.0	46.0
MJ030-2-barcode65-umi36164bins-ubs-20	0.0	36.0
RS-GCF-019083995.1-NZ-JAHRCU010000048.1	11.0	0.0
MJ030-2-barcode58-umi102901bins-ubs-3	227.0	952.0
MJ030-2-barcode58-umi65211bins-ubs-9	8.0	14.0
AJ227759	0.0	11.0
MJ030-2-barcode58-umi56637bins-ubs-11	14.0	220.0
GB-GCA-018006385.1-JAGMYM010000089.1	0.0	16.0
JX500274	4.0	20.0
G000695095	11.0	3.0
MJ030-2-barcode59-umi16014bins-ubs-36	47.0	122.0
MJ030-1-barcode42-umi4456bins-ubs-68	0.0	21.0
MJ030-2-barcode58-umi108896bins-ubs-3	12.0	0.0
KJ721000	0.0	43.0
LC153750	0.0	182.0
MJ030-1-barcode25-umi46256bins-ubs-11	0.0	15.0
MJ031-1-barcode42-umi31577bins-ubs-7	2.0	9.0
MJ009-1-barcode39-umi51009bins-ubs-7	45.0	68.0
