"","domain","phylum","class","order","family","genus","species","Confidence"
"MJ020-1-barcode34-umi1783bins-ubs-137","Bacteria"," Acidobacteriota"," Blastocatellia"," Pyrinomonadales"," Blastocatellaceae_430966"," "," "," 1"
"AB033327","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Porphyrobacter_484321"," Porphyrobacter neustonensis"," 1"
"MH091546","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Szabonella"," Szabonella alba"," 1"
"MK693145","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Tabrizicola_493931"," Tabrizicola sediminis"," 1"
"MJ031-1-barcode30-umi34495bins-ubs-5","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Microcoleaceae"," Planktothrix"," Planktothrix agardhii"," 1"
"GB-GCA-016712445.1-JADJRB010000001.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Caulobacterales"," Hyphomonadaceae"," Hyphomonas"," "," 1"
"MJ030-2-barcode58-umi111364bins-ubs-3","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Ideonella_A_591966"," "," 1"
"GB-GCA-004299445.1-SCTC01000039.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Caulobacterales"," Caulobacteraceae"," Phenylobacterium"," Phenylobacterium kunshanense"," 1"
"JN104393","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Gemmobacter_C"," Gemmobacter_C lanyuensis"," 1"
"MJ031-1-barcode27-umi39688bins-ubs-3","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"MJ033-1-barcode37-umi14284bins-ubs-19","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Nostocaceae_28012"," "," "," 1"
"MJ030-2-barcode59-umi16014bins-ubs-36","Bacteria"," Patescibacteria"," Saccharimonadia"," Saccharimonadales"," "," "," "," 1"
"MJ030-2-barcode58-umi53282bins-ubs-13","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Acidovorax_A"," Acidovorax_A delafieldii_B_589608"," 1"
"MJ030-2-barcode59-umi24098bins-ubs-26","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Sphingorhabdus_B_483718"," "," 1"
"G007753455","Bacteria"," Planctomycetota"," Planctomycetia"," Pirellulales"," Lacipirellulaceae"," Botrimarina"," Botrimarina mediterranea"," 1"
"MJ031-1-barcode30-umi16295bins-ubs-28","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"MJ034-1-barcode40-umi23686bins-ubs-7","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Chthoniobacterales"," Chthoniobacteraceae"," VFJQ01"," VFJQ01 sp009885995"," 1"
"KJ647399","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Acetobacterales"," Acetobacteraceae"," Plastoroseomonas"," Plastoroseomonas arctica"," 1"
"JN399172","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Novosphingobium_485350"," Novosphingobium fuchskuhlense"," 1"
"MJ030-1-barcode42-umi4456bins-ubs-68","Bacteria"," Bacteroidota"," Bacteroidia"," Cytophagales"," Spirosomaceae"," Lacihabitans"," Lacihabitans soyangensis"," 1"
"RS-GCF-006443685.1-NZ-VFYP01000012.1","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_500472"," Rhizobiaceae_A_500472"," Allorhizobium"," Allorhizobium wuzhouense"," 1"
"MJ030-2-barcode58-umi100027bins-ubs-4","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_500472"," Rhizobiaceae_A_500472"," Allorhizobium"," Allorhizobium ipomoeae"," 1"
"MJ030-2-barcode59-umi68809bins-ubs-8","Bacteria"," Chloroflexota"," Anaerolineae"," Caldilineales"," Caldilineaceae"," "," "," 1"
"KY363638","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Xanthomonadales_616009"," Xanthomonadaceae_616009"," Silanimonas_613110"," Silanimonas algicola"," 1"
"MJ030-2-barcode58-umi82375bins-ubs-6","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504705"," Beijerinckiaceae"," Rhabdaerophilum"," Rhabdaerophilum calidifontis"," 1"
