Feature.ID,Church.F.28,Well.F.92
MJ030-2-barcode58-umi65211bins-ubs-9,8,14
MJ032-1-barcode26-umi31215bins-ubs-12,0,11
KU055631,12,0
KJ528316,140,240
G003669285,54,61
MJ032-1-barcode26-umi42145bins-ubs-8,21,2
MJ030-2-barcode59-umi110411bins-ubs-3,100,10
KF056993,0,30
RS-GCF-019039055.1-NZ-JAHOPB010000001.1,0,13
MJ030-2-barcode58-umi101110bins-ubs-4,26,2
MJ031-1-barcode42-umi31577bins-ubs-7,2,9
MJ030-2-barcode58-umi113995bins-ubs-3,0,37
MJ030-1-barcode25-umi118521bins-ubs-3,0,24
MJ010-1-barcode44-umi26041bins-ubs-26,0,29
MJ030-2-barcode58-umi113852bins-ubs-3,0,12
MJ030-2-barcode59-umi41742bins-ubs-16,0,10
MJ030-2-barcode59-umi39800bins-ubs-18,0,259
MJ034-1-barcode32-umi20373bins-ubs-10,0,67
AB033327,0,80
G007753455,66,78
RS-GCF-014647815.1-NZ-BMPX01000104.1,8,7
GB-GCA-900465755.1-UBJZ01000036.1,6,11
MJ030-1-barcode42-umi118053bins-ubs-3,22,0
MJ030-2-barcode58-umi100253bins-ubs-4,16,611
HM037996,5,63
JX500274,4,20
RS-GCF-005222805.1-NZ-STGC01000003.1,5,14
MJ030-2-barcode59-umi107473bins-ubs-3,46,0
HF544321,5,50
MJ030-2-barcode58-umi89379bins-ubs-5,0,71
RS-GCF-019083995.1-NZ-JAHRCU010000048.1,11,0
AJ227784,18,0
AJ247194,9,67
MJ030-2-barcode58-umi95976bins-ubs-4,0,91
MJ030-2-barcode58-umi44348bins-ubs-17,0,73
MJ034-1-barcode37-umi930bins-ubs-398,15,0
