Population 	Bac	ID	Frond_Start	Pix_Start	Peri_Start	Green_Start	Green_Peri_Start	Frond_End	Pix_End	Peri_End	Green_End	Green_Peri_End	Notes	Algae level
Churchill	3	121	2	1470	592.212	1262	419.028	5	18276	761.293	16570	778.936	Few dots	None
Churchill	1	122	2	865	406.933	784	583.919	3	3605	390.302	2847	440.48	Few dots	None
Wellspring 	1	123	1	912	404.799	741	562.332	2	3363	284.836	3605	379.607	Dots	Med
Wellspring 	All	124	2	1593	492.628	1145	626.888	4	5587	741.64	4662	750.496	Nothing	None
Wellspring 	0	125	2	2018	548.858	1824	441.642	4	9137	546.347	8585	578.208	Dots	Med
Churchill	9	126	2	1349	508.218	1026	546.245	3	8205	718.852	6440	602.395	Nothing	None
Kelso	7	127	2	1415	460.851	1282	515.946	4	5026	680.355	4085	551.229	Nothing	None
Churchill	3	128	2	1526	483.252	1091	550.046	5	11175	691.005	9749	610.015	Few dots	None
Kelso	2	129	1	912	479.155	663	409.517	2	4847	532.289	2922	612.505	Film	Med
Wellspring 	8	130	1	921	489.244	771	641.938	2	2264	334.344	1749	386.453	Dots	Low
Churchill	10	131	2	2182	497.074	2039	552.628	5	11430	645.403	10314	682.43	Few dots	None
Wellspring 	5	132	1	1096	542.617	945	461.393	0					Empty	Low
Churchill	5	133	1	983	498.613	840	563.826	5	7157	685.519	6197	692.181	Nothing	None
Churchill	8	134	1	1015	566.39	694	514.61	3	4230	515.712	3278	461.383	Few dots	None
Churchill	5	135	2	1111	643.026	959	575.685	2	4280	450.585	2814	445.108	Few dots	None
Churchill	All	136	2	1249	546.648	1044	550.975	5	7645	833.237	5983	830.396	Few dots	None
Churchill	7	137	1	911	451.796	650	549.629	2	2492	408.221	1940	379.888	Few dots	None
Kelso	7	138	2	737	577.553	579	638.289	2	3259	296.758	1630	638.861	Film	Low
Kelso	2	139	2	1030	485.991	827	628.442	4	5585	603.058	3987	746.894	Film	Low
Kelso	5	140	1	656	462.084	543	557.669	4	6910	696.384	5868	720.869	Film	Low
Wellspring 	9	141	2	1394	507.28	1317	610.875	3	7270	412.437	4509	336.775	film	Med
Wellspring 	2	142	1	1193	516.12	1030	572.744	3	7909	392.286	8525	500.015	Dots	Med
Kelso	8	143	1	980	585.387	794	496.378	2	3268	302.529	3638	440.137	Film	Low
Wellspring 	5	144	2	1106	458.035	899	537.75	3	6110	433.414	4842	422.575	Heavy dots	Med
Churchill	0	145	2	1214	553.491	1018	480.518	4	5945	484.562	5289	451.611	Few dots	None
Wellspring 	7	146	2	5721	678.091	5562	666.513	4	12289	637.502	10420	680.452	Dots	Med
Wellspring 	0	147	2	2441	664.127	2322	572.822	3	5728	472.289	5266	579.065	Dots	Low
Wellspring 	9	148	2	2948	728.793	2821	600.914	3	6024	421.276	4842	502.409	Dots	Low
Kelso	7	149	2	769	488.486	667	570.115	2	1509	378.52	721	652.605	Nothing	None
Wellspring 	8	150	2	1482	528.283	1335	573.64	2	2953	309.816	2581	348.783	Few dots	Low
Churchill	1	151	2	876	570.119	732	509.969	3	6368	666.788	5835	574.782	Few dots	None
Kelso	7	152	2	641	568.915	517	530.849	2	554	574.75	181	528.769	Nothing	None
Wellspring 	6	153	2	3975	664.646	3670	735.04	3	4728	358.635	3602	457.014	Dots	Low
Wellspring 	2	154	2	1740	601.679	1495	558.514	2	2605	278.493	1883	332.22	Dots	Low
Kelso	6	155	1	741	598.451	586	570.19	2	1292	503.542	736	557.427	Nothing	None
Kelso	9	156	2	873	302.536	773	381.993	2	953	263.528	637	286	Nothing	None
Wellspring 	7	157	2	6839	745.343	6634	739.288	5	13730	602.115	12160	611.406	Dots	Low
Churchill	1	158	2	1197	543.901	931	554.683	3	7696	612.888	6606	758.52	Few dots	None
Kelso	10	159	2	534	580.145	387	601.812	2	3717	402.599	5070	356.117	Nothing	None
Wellspring 	9	160	2	5956	729.703	5467	610.846	4	12166	679.469	10475	700.851	Dots	Low
Churchill	9	161	1	1147	620.084	986	652.332	6	11048	717.366	8321	689.629	Few dots	None
Churchill	3	162	1	872	530.593	679	695.734	4	8051	698.526	6516	657.218	Few dots	None
Wellspring 	9	163	2	1473	684.486	1187	614.265	2	3068	272.675	3502	438.568	Dots	Low
Churchill	6	164	1	1046	476.06	940	648.276	6	11204	759.149	9777	681.204	Few dots	None
Churchill	3	165	2	1116	504.574	990	561.316	5	8321	686.122	7435	759.393	Few dots	None
Wellspring 	3	166	2	3593	685.812	3297	723.688	2	5311	328.07	3397	390.399	Dots	Med
Wellspring 	1	167	2	1046	558.356	948	621.588	2	3760	297.513	2482	337.132	Dots	Med
Kelso	7	168	2	710	582.593	566	527.603	2	1979	693.218	1391	766.169	Nothing	None
Kelso	9	169	1	895	461.646	763	583.145	3	2814	573.518	2209	632.913	Nothing	None
Wellspring 	4	170	2	2178	628.152	2037	621.333	2	7235	425.163	6079	390.273	Dots	Low
Kelso	5	171	1	678	547.241	565	610.761	4	10105	795.123	6681	844.003	Nothing	None
Kelso	7	172	2	992	496.023	825	726.816	2	3018	524.115	456	483.671	Nothing	None
Wellspring 	7	173	1	1056	529.3	944	613.347	3	4589	321.567	3478	311.747	Dots	Med
Wellspring 	All	174	2	1575	566.694	1097	832.117	3	4952	439.47	3935	385.318	Dots	Low
Churchill	8	175	2	1032	631.295	873	622.151	7	13593	612.808	9686	635.689	Few dots	None
Kelso	9	176	2	1582	541.807	1358	657.53	3	2474	385.301	1734	401.765	Nothing	None
Kelso	0	177	2	1088	566.698	902	634.784	4	6914	694.019	5912	678.475	Nothing	None
Wellspring 	2	178	1	684	522.421	472	652.69	2	3883	307.207	2715	290.164	Dots	Med
Wellspring 	6	179	2	2653	647.168	2355	682.914	2	4100	324.611	3161	253.467	Dots	Med
Kelso	5	180	2	1511	601.537	1403	628.77	6	19600	1105.45	15260	1100.266	Nothing	None
Kelso	8	181	2	2690	606.661	2362	684.591	3	6649	747.042	5465	743.932	Nothing	None
Churchill	All	182	2	526	612.301	337	564.893	3	6995	561.182	5959	585.252	Few dots	None
Churchill	10	183	1	737	621.873	554	715.9	5	11439	612.486	7876	536.474	Few dots	None
Kelso	1	184	2	1849	644.636	1670	771.704	10	30358	993.352	28626	1013.717	Nothing	None
Kelso	7	185	2	1384	571.155	1181	569.53	4	4308	592.064	2060	669.612	Nothing	None
Churchill	0	186	1	817	668.625	652	575.895	2	3341	299.758	2920	364.78	Few dots	None
Churchill	7	187	2	1180	646.812	843	692.144	7	11071	650.324	9669	677.389	Few dots	None
Churchill	2	188	1	498	596.989	293	547.66	4	6146	510.872	5836	611.17	Few dots	None
Churchill	1	189	2	1457	797.969	1236	525.691	5	11701	754.764	7943	796.478	Few dots	None
Kelso	5	190	2	2445	628.708	2155	617.518	5	13928	1192.966	12288	1194.773	Nothing	None
Wellspring 	4	191	2	2173	711.666	1938	655.175	2	5643	336.639	4382	317.589	Dots	Med
Wellspring 	9	192	2	4479	684.227	4309	711.609	4	13103	497.689	12346	592.049	Dots	Med
Kelso	4	193	2	2211	628.096	2077	583.686	8	36006	1069.952	33136	1100.614	Nothing	None
Churchill	5	194	2	3124	646.937	2964	689.263	5	14720	673.696	13936	718.685	Few dots	None
Churchill	4	195	2	2247	693.388	2126	677.45	5	6900	609.005	6506	630.709	Few dots	None
Kelso	4	196	2	5015	812.562	4828	732.386	11	42450	1045.299	38431	1106.595	Nothing	None
Wellspring 	5	197	1	1096	536.192	964	584.415	2	3018	336.898	2704	329.154	Dots	Low
Churchill	10	198	2	3590	564.157	3319	589.235	4	10687	667.286	9136	715.659	Few dots	None
Wellspring 	5	199	2	2893	563.876	2581	663.399	4	8840	502.519	6764	414.837	Dots	Low
Wellspring 	3	200	2	1181	469.299	1047	478.064	4	4309	478.841	1272	475.306	Film	Med
Churchill	9	201	2	3062	672.279	2836	802.467	6	13224	729.963	12189	732.558	Few dots	Low
Kelso	4	202	2	2704	689.243	1311	646.02	5	18335	807.358	16474	914.435	Nothing	None
Kelso	6	203	2	1449	745.976	813	753.595	2	1776	493.77	573	485.305	Nothing	None
Wellspring 	3	204	2	1328	712.7	1214	686.65	2	3474	306.994	3001	355.507	Dots	Low
Kelso	10	205	2	2985	632.009	2022	726.502	7	20832	1064.181	18484	1030.05	Nothing	None
Wellspring 	8	206	2	1370	614.125	888	674.234	2	4511	371.055	3422	326.438	Dots	Med
Kelso	8	207	3	6326	821.262	4288	864.812	6	11154	976.78	6702	996.042	Nothing	None
Wellspring 	7	208	2	2480	620.804	2029	669.444	4	5394	403.472	4470	383.442	Dots	Med
Kelso	4	209	2	4581	689.304	4319	761.032	11	50557	1221.386	47420	1252.97	Nothing	None
Wellspring 	7	210	2	1520	599.768	1264	588.11	3	5741	373.852	5323	395.566	Dots	Med
Wellspring 	10	211	2	975	567.864	644	753.717	3	1919	247.471	1593	295.549	Dots	Med
Kelso	2	212	3	5438	660.886	4892	796.432	15	40299	1320.294	36929	1369.612	Nothing	None
