Churchill	Y	Control	161	2	2577	712.612	1854	535.967	7	14898	802.274	10992	868.125	2298
Churchill	Y	Control	162	2	3105	560.678	2811	580.19	12	20249	919.067	14716	997.855	1500
Wellspring	Y	4	163	3	4593	681.322	4170	677.598	9	23707	1064.113	17921	1117.808	6377
Churchill	Y	9	164	2	1735	520.36	1424	596.573	8	13676	822.268	9559	984.546	5136
Churchill	Y	5	165	2	2671	550.841	2365	613.329	9	23161	1176.047	20176	987.47	1023
Wellspring	Y	All10	166	2	2562	551.996	2263	643.603	9	26196	926.357	22007	957.082	10439
Wellspring	Y	6	167	2	3603	568.67	3227	592.206	5	8397	721.481	7372	833.343	484
Churchill	Y	4	168	1	1860	468.756	1699	545.814	9	21145	937.182	17776	1023.623	947
Churchill	Y	All10	169	1	2769	625.3	1757	629.276	9	21369	943.054	20230	906.739	7496
Churchill	Y	6	170	2	2986	670.516	2194	604.313	6	12042	601.955	11323	681.398	2087
Churchill	Y	2	171	2	3268	669.751	2837	538.856	12	33113	1189.71	27594	1198.408	7606
Churchill	N	10	172											48.4
Wellspring	Y	9	173	2	2598	569.752	1906	690.373	10	19671	1115.448	17190	1090.593	4243
Wellspring	N	9	174											114
Churchill	Y	10	175	2	3443	541.88	3144	682.769	7	12919	843.765	11297	849.707	1104
Wellspring	Y	9	176	2	1786	534.347	1628	644.369	2	1114	314.032	962	494.99	27.5
Wellspring	N	2	177											2136
Churchill	Y	6	178	1	3539	663.046	2254	581.667	8	20361	944.714	17960	962.842	2593
Churchill	Y	8	179	2	4990	601.152	4634	828.384	12	25438	1067.98	21869	1088.777	1789
Churchill	N	10	180											83.6
Churchill	N	All10	181											2848
Wellspring	N	9	182											25.3
Wellspring	N	2	183											780
Wellspring	Y	4	184	2	2402	652.507	1250	658.742	8	22388	1067.807	19333	1137.41	4864
Churchill	Y	5	185	2	4696	915.692	4076	758.397	14	29999	1053.805	27006	1077.245	3782
Wellspring	N	2	186											219
Churchill	N	2	187											1110
Churchill	N	10	188											51.7
Churchill	Y	2	189	2	3449	636.387	2693	586.601	11	29549	1013.118	26932	1019.149	10680
Wellspring	Y	10	190	2	4202	640.109	3564	532.305	7	16889	859.671	16104	831.55	2354
Churchill	Y	Control	191	1	2660	716.369	2078	585.751	8	19283	928.629	17212	997.213	3135
Churchill	N	1	192											48.4
Wellspring	Y	5	193	2	2325	614.489	1784	672.631	9	26127	1111.373	25551	1046.865	3110
Churchill	Y	10	194	2	1866	558.836	1432	723.196	8	11701	728.062	11314	794.725	3404
Churchill	N	5	195											31.9
Churchill	N	3	196											78.1
Wellspring	N	8	197											96.8
Wellspring	N	9	198											283
Wellspring	N	2	199											330
Churchill	N	3	200											52.8
Wellspring	Y	7	201	2	4468	546.667	3334	617.854	13	40541	1188.656	38291	1240.896	5875
Churchill	Y	2	202	2	1882	512.055	1456	719.786	2	973	345.386	840	295.081	12003
Wellspring	Y	7	203	1	1186	332.503	955	421.039	6	15360	899.078	13546	868.217	7889
Churchill	N	6	204											295
Churchill	N	10	205											31.9
Wellspring	Y	1	206	2	2627	555.709	2352	717.641	10	27582	1275.851	25549	1327.598	3489
Wellspring	N	1	207											129
Churchill	Y	4	208	2	2090	663.686	1759	580.979	9	19062	874.212	18500	833.254	1920
Churchill	Y	5	209	2	3716	582.142	2322	680.586	3	4880	599.84	4791	691.895	42.9
Wellspring	N	9	210											35.2
Churchill	N	4	211											20.9
Wellspring	N	8	212											30.8
Churchill	Y	All10	213	2	1544	302.715	1181	347.167	10	21616	951.32	21229	956.672	7904
Churchill	N	10	214											19.8
Churchill	Y	4	215	3	4779	655.824	3984	658.828	11	17493	940.365	17138	958.212	1591
Wellspring	N	8	216											14.3
Wellspring	Y	7	217	2	4595	600.258	3080	621.71	12	44971	1445.783	36997	1483.088	4783
Churchill	N	7	218											79.2
Wellspring	N	1	219											74.8
Wellspring	N	7	220											168
Wellspring	Y	All10	221	2	2243	498.276	1645	637.632	2	2515	507.492	2387	635.029	2836
Churchill	N	6	222											279
Churchill	Y	9	223	2	4203	577.912	3776	653.753	10	18468	1052.472	15556	1028.196	3835
Wellspring	Y	2	224											333
Wellspring	N	7	225											224
Churchill	Y	10	226	2	2914	539.084	2215	533.433	9	20949	965.971	17663	944.417	5963
Churchill	Y	Control	227	2	3818	541.575	3534	573.82	11	29677	1086.888	27040	1043.237	2256
Churchill	Y	9	228	2	1789	454.869	1488	502.157	6	9543	751.583	8328	659.171	2790
Wellspring	N	9	229											788
Churchill	Y	6	230	2	2749	528.333	2380	611.618	3	3683	596.146	3379	671.208	424
Wellspring	N	All10	231											6135
Wellspring	N	10	232											348
Churchill	Y	6	233	2	3400	757.398	2979	699.906	8	23268	1044.283	21201	1031.623	2088
Churchill	N	3	234											1119
Churchill	N	7	235											268
Churchill	N	6	236											135
Wellspring	N	1	237											482
Wellspring	Y	4	238	2	2524	625.269	2022	594.683	3	3548	456.601	3338	490.955	864
Wellspring	Y	Control	239	1	1774	581.668	1410	510.783	7	25005	969.644	22039	958.137	2027
Wellspring	N	3	240											1112
Churchill	N	6	241											893
